age_group,sex_id,year_id,location_id,mean,lower,upper,inc_target,Sex,metric
Under 5,1,2017,1,40037.67633,30983.90269,48700.11667,NA,Male,mortality
Under 5,1,2018,1,36800.01579,28018.01286,45762.78489,NA,Male,mortality
Under 5,1,2019,1,33512.69228,25509.80526,42411.40619,NA,Male,mortality
Under 5,1,2020,1,30564.2752,22368.61809,39216.63874,NA,Male,mortality
Under 5,1,2021,1,27512.5462,19547.84635,36365.30194,NA,Male,mortality
Under 5,2,1990,1,140787.5733,119696.606,172996.3932,NA,Female,mortality
Under 5,2,1991,1,139860.9994,119213.6854,169472.8789,NA,Female,mortality
Under 5,2,1992,1,138731.3563,116805.9529,166217.95,NA,Female,mortality
Under 5,2,1993,1,137037.9535,116768.7176,164379.2872,NA,Female,mortality
Under 5,2,1994,1,135456.1147,114244.7952,161997.3007,NA,Female,mortality
Under 5,2,1995,1,134795.508,114212.9235,159547.0864,NA,Female,mortality
Under 5,2,1996,1,133094.399,111365.9952,157182.0811,NA,Female,mortality
Under 5,2,1997,1,131344.4079,111944.1973,153479.9628,NA,Female,mortality
Under 5,2,1998,1,128768.6121,108300.8676,149081.9509,NA,Female,mortality
Under 5,2,1999,1,125857.0228,107069.1851,146200.5527,NA,Female,mortality
Under 5,2,2000,1,123260.2045,103895.669,143500.0735,NA,Female,mortality
Under 5,2,2001,1,119857.9074,101874.3996,140385.3432,NA,Female,mortality
Under 5,2,2002,1,116932.5628,99783.87885,136691.4153,NA,Female,mortality
Under 5,2,2003,1,113500.0688,96527.82193,131036.8346,NA,Female,mortality
Under 5,2,2004,1,109656.2423,94817.87218,125388.2303,NA,Female,mortality
Under 5,2,2005,1,105169.5932,90617.65877,118892.1878,NA,Female,mortality
Under 5,2,2006,1,100248.9637,86169.55353,113552.8722,NA,Female,mortality
Under 5,2,2007,1,94394.41644,81398.29395,106103.4632,NA,Female,mortality
Under 5,2,2008,1,88316.47188,75966.29725,98569.22221,NA,Female,mortality
Under 5,2,2009,1,82400.90602,71690.14764,93654.92252,NA,Female,mortality
Under 5,2,2010,1,76463.35435,66096.2086,86930.73214,NA,Female,mortality
Under 5,2,2011,1,71596.87142,60907.95899,82026.26186,NA,Female,mortality
Under 5,2,2012,1,67690.37665,56191.8027,77641.05811,NA,Female,mortality
Under 5,2,2013,1,64415.18628,53905.77873,74212.86451,NA,Female,mortality
Under 5,2,2014,1,60783.57217,51014.24386,71121.21551,NA,Female,mortality
Under 5,2,2015,1,56843.2497,46834.65682,67171.98329,NA,Female,mortality
Under 5,2,2016,1,52896.4356,42868.42257,62590.09474,NA,Female,mortality
Under 5,2,2017,1,48522.36432,38652.9126,57662.09701,NA,Female,mortality
Under 5,2,2018,1,44403.91967,35278.9004,53027.38415,NA,Female,mortality
Under 5,2,2019,1,40358.98569,31706.1312,49266.90198,NA,Female,mortality
Under 5,2,2020,1,36617.65918,27719.08438,44755.29264,NA,Female,mortality
Under 5,2,2021,1,32753.2907,24055.09858,41175.60372,NA,Female,mortality
